172,Chilcas,4434,Salta
173,Chirete,4554,Salta
174,Chivilme,4423,Salta
175,Chiyayoc,4633,Salta
176,Chorrillitos,4409,Salta
177,Chorrillos,4405,Salta
178,Chorro Blanco,4415,Salta
179,Chorroarin,4446,Salta
180,Chuculaqui,4413,Salta
181,Ciervo Cansado,4535,Salta
182,Coba,4434,Salta
183,Cobas,4400,Salta
184,Cobos,4432,Salta
185,Colanzuli,4633,Salta
186,Colgadas,4193,Salta
187,Colmenar,4419,Salta
188,Colome,4419,Salta
189,Colon,4403,Salta
190,Colonia A,4530,Salta
191,Colonia Agricola San Agustin,4530,Salta
192,Colonia Buenaventura,4561,Salta
193,Colonia D,4530,Salta
194,Colonia El Fuerte,4421,Salta
195,Colonia Hurlingham,4449,Salta
196,Colonia Otomana,4550,Salta
197,Colonia Santa Maria,4530,Salta
198,Colonia Santa Rosa,4531,Salta
199,Colonia Santa Rosa De Lima,4432,Salta
200,Colonia Zanja Del Tigre,4560,Salta
201,Colorado,4633,Salta
202,Colte,4419,Salta
203,Conchas,4440,Salta
204,Condado,4651,Salta
205,Condor,4190,Salta
206,Copo Quile,4193,Salta
207,Coronel Cornejo,4552,Salta
208,Coronel Juan Sola,4538,Salta
209,Coronel Moldes,4421,Salta
210,Coronel Mollinedo,4449,Salta
211,Coronel Olleros,4446,Salta
212,Coronel Vidt,4448,Salta
213,Coropampa,4425,Salta
214,Corral Quemado,4446,Salta
215,Corralito,4552,Salta
216,Corralito,4427,Salta
217,Corrida De Cori,4419,Salta
218,Cortaderas,4633,Salta
219,Corzuela,4550,Salta
220,Cosme,4190,Salta
221,Cruz Quemada,4434,Salta
222,Cuchiyaco,4419,Salta
223,Cuesta Azul,4651,Salta
224,Cuesta Chica,4415,Salta
225,Cuesta Del Obispo,4417,Salta
226,Curuzu,4401,Salta
227,Damian N Torino,4409,Salta
228,Diamante,4419,Salta
229,Diamante,4198,Salta
230,Diego De Almagro,4409,Salta
231,Dique Embalse Campo Alegre,4432,Salta
232,Dique Itiruyo,4568,Salta
233,Divisadero,4446,Salta
234,Doctor Facundo Zuviria,4423,Salta
235,Doctor Facundo Zuviria,4421,Salta
236,Dos Yuchanes,4554,Salta
237,Dragones,4554,Salta
238,Duraznito,4190,Salta
239,Durazno,4425,Salta
240,Durazno,4440,Salta
241,Ebro,4434,Salta
242,El Ñato,4561,Salta
243,El Acheral,4425,Salta
244,El Acheral,4425,Salta
245,El Aguay,4563,Salta
246,El Aguilar,4651,Salta
247,El Alfredito,4409,Salta
248,El Algarrobal,4448,Salta
249,El Algarrobo,4434,Salta
250,El Alisal,4409,Salta
251,El Arenal,4448,Salta
252,El Aybal,4400,Salta
253,El Borde De San Miguel,4432,Salta
254,El Bordo,4449,Salta
255,El Bordo,4430,Salta
256,El Bordo,4432,Salta
257,El Bordo,4193,Salta
258,El Bordo Campo Santo,4446,Salta
